SKU,name,orderedQuantity,stockLevel,restockingLeadTime,sentimentScore,sentimentMagnitude
GGOEGAFJ036214, Men's Pullover Hoodie Grey,13,24,8,0.8,1.2
9180767, Slim Utility Travel Bag,0,0,8,0.8,1.2
9182785, Women's Lightweight Microfleece Jacket,0,0,8,0.8,1.2
GGOEGETR014599, Tube Power Bank,218,72,8,-0.2,0.7
GGOEGHPB080410, 5-Panel Snapback Cap,151,219,8,0.3,0.7
GGOEAAAB081016,Android Men's Outerstellar Short Sleeve Tee Black,2,2,8,0.4,0.7
GGOEGAAX0781, Leather Journal,119,181,8,0.4,0.7
GGOEGAWQ062953, Baby Essentials Set,231,346,8,0.4,0.7
GGOEGAAX0593, Men's Airflow 1/4 Zip Pullover Lapis,16,23,8,0.0,1.4
GGOEGAXR065128, Toddler Short Sleeve Tee Red,14,27,8,0.9,1.4
GGOEGAAX0350, Men's Bayside Graphic Tee,17,33,8,0.9,1.4
GGOEGALJ036417, Women's Tee Grey,7,13,8,0.9,1.4
GGOEGAAX0627, Infant Zip Hood Pink,18,35,8,0.9,1.4
GGOEGAAX0299, Women's V-Neck Tee Charcoal,51,77,8,0.8,1.9
GGOEWFKA083199, Mood Original Window Decal,63,66,8,0.0,0.1
9180792,20 oz Stainless Steel Insulated Tumbler,0,0,8,0.0,0.2
9182176,Android Women's Short Sleeve Badge Tee Dark Heather,0,0,8,0.1,0.2
GGOEGAEJ030814, Women's Long Sleeve Blended Cardigan Charcoal,34,37,8,0.0,0.2
GGOEGAXR066055, Toddler Sports T-shirt Red,5,5,8,0.1,0.2
GGOEGATH060716, Women's Convertible Vest-Jacket Sea Foam Green,9,11,8,0.2,0.4
GGOEGALB034114, Women's Vintage Hero Tee Black,121,155,8,0.2,0.4
GGOEYAEJ029616, Women's Short Sleeve Tri-blend Badge Tee Grey,3,4,8,0.5,0.8
GGOEYAEJ029017, Women's Short Sleeve Hero Tee Charcoal,3,4,8,0.5,0.8
GGOEGALL074613, Women's Short Sleeve Badge Tee Navy,22,33,8,0.5,0.8
GGOEAAXJ066229,Android Toddler Short Sleeve T-shirt Pewter,3,4,8,0.5,0.8
GGOEGADC059316, Men's Airflow 1/4 Zip Pullover Lapis,4,6,8,0.5,0.8
GGOEGAAX0572, Men's Colorblock Tee White/Heather,1,1,8,0.2,0.8
GGOEGAAJ032616, Men's Short Sleeve Badge Tee Charcoal,31,48,8,0.5,0.8
GGOEGOCT019199,Red Spiral  Notebook,316,43,8,0.7,1.1
9182738, Women's Long Sleeve Blended Cardigan Charcoal,0,0,8,0.7,1.1
GGOEAAAP081214,Android Men's Take Charge Short Sleeve Tee Purple,38,68,8,0.7,1.1
GGOEGAAJ073016, Men's Performance Hero Tee Gunmetal,6,10,8,0.7,1.1
GGOEGOAC021799,Ballpoint Pen Blue,226,400,8,0.7,1.1
GGOEGAWQ062248, Infant Short Sleeve Tee White,4,7,8,0.7,1.1
GGOEAAEJ033415,Android Men's Long Sleeve Badge Crew Tee Heather,51,92,8,0.7,1.1
GGOEGATB060615, Women's Convertible Vest-Jacket Black,16,25,8,0.5,0.9
GGOEGALJ034417, Women's Vintage Hero Tee Platinum,4,6,8,0.6,0.9
GGOEYAEA035117, Men's Vintage Henley,37,59,8,0.5,0.9
GGOEGALP034316, Women's Vintage Hero Tee Lavender,3,4,8,0.5,0.9
9180766,Sport Bag,0,0,8,0.5,0.9
9184675,UpCycled Bike Saddle Bag,0,0,8,0.5,0.9
9180793,26 oz Double Wall Insulated Bottle,0,0,8,0.5,0.9
9182741, Men's Airflow 1/4 Zip Pullover Lapis,0,0,8,0.9,1.3
GGOEGAAR010717, Men's 100% Cotton Short Sleeve Hero Tee Red,15,29,8,0.8,1.3
GGOEAHPB076115,Android Stretch Fit Hat,18,34,8,0.8,1.3
GGOEGAAX0281, Women's Short Sleeve Badge Tee Grey,7,8,8,0.4,1.3
GGOEGCBB074399, Device Holder Sticky Pad,49,94,8,0.1,1.3
GGOEGAAX0107, Men's 100% Cotton Short Sleeve Hero Tee Red,40,72,8,0.7,1.8
GGOEGAAX0607, Women's Convertible Vest-Jacket Sea Foam Green,22,25,8,-0.5,1.8
GGOEGESC014699,Aluminum Handy Emergency Flashlight,66,90,9,0.0,0.5
GGOEGPJC203399,Crunch Noise Dog Toy,262,352,9,0.7,0.5
GGOEGAEA030413, Womens 3/4 Sleeve Baseball Raglan Heather/Black,23,31,9,0.3,0.5
GGOEGAAX0339, Men's Vintage Badge Tee White,137,210,9,0.1,0.5
GGOEGADB059615, Men's Quilted Insulated Vest Black,31,51,9,0.6,1.0
GGOENEBD084799, Learning Thermostat 3rd Gen-USA - Copper,324,564,9,0.7,1.0
GGOEGALB034115, Women's Vintage Hero Tee Black,124,213,9,0.6,1.0
GGOEGAAX0592, Men's Airflow 1/4 Zip Pullover Black,8,8,9,-0.2,1.5
GGOEAOCB077499,Android RFID Journal,73,86,9,0.3,0.3
GGOEGAPB058215, Women's Lightweight Microfleece Jacket,5,5,9,0.1,0.3
GGOEGADB056613,Men's Weatherblock Shell Jacket Black,4,4,9,0.1,0.3
GGOEGAAJ057018, Men's Short Sleeve Performance Badge Tee Charcoal,4,5,9,0.3,0.6
GGOEGAER029714, Women's Short Sleeve Hero Tee Red Heather,29,40,9,0.3,0.6
GGOEGAEJ028914, Women's Short Sleeve Hero Dark Grey,5,7,9,0.4,0.6
GGOEGADJ056814, Men's Watershed Full Zip Hoodie Grey,41,57,9,0.3,0.6
9180844,Gunmetal Roller Ball Pen,0,0,9,0.3,0.6
GGOEAAWT061748,Android Onesie Gold,19,34,9,0.7,1.2
GGOEAHPA004110,Android Wool Heather Cap Heather/Black,168,305,9,0.2,1.2
GGOEGFKA022299,Keyboard DOT Sticker,480,189,9,0.7,1.2
GGOENEBQ081699, Protect Smoke + CO White Battery Alarm - CA,14,25,9,0.8,1.2
GGOEGALL074615, Women's Short Sleeve Badge Tee Navy,14,25,9,0.8,1.2
GGOEGADC059314, Men's Airflow 1/4 Zip Pullover Lapis,3,4,9,0.4,0.7
GGOEGALQ034216, Women's Vintage Hero Tee White,12,17,9,0.4,0.7
GGOEGAAQ010415, Men's 100% Cotton Short Sleeve Hero Tee White,221,335,9,0.4,0.7
GGOEGGOA017399,Maze Pen,1748,324,9,0.4,0.7
GGOEGDHR018499, 22 oz Water Bottle,975,1482,9,0.4,0.7
GGOEGAAX0351, Men's Vintage Henley,79,133,9,-0.5,1.4
GGOEGAAX0291, Women's Short Sleeve Hero Tee Sky Blue,27,44,9,0.5,1.4
GGOEGALJ034416, Women's Vintage Hero Tee Platinum,7,13,9,0.9,1.4
GGOEGAAX0304, Women's 3/4 Sleeve Baseball Raglan Heather/Black,19,26,9,0.5,1.4
GGOEGAAX0590, Men's Short Sleeve Performance Badge Tee Navy,15,21,9,0.1,1.4
GGOEGAYR068225, Youth Short Sleeve Tee Red,1,1,9,0.0,0.1
GGOEGAAX0340, Men's Vintage Badge Tee Sage,254,442,9,-0.2,0.1
GGOEGOCR078499, Spiral Leather Journal,401,449,9,0.1,0.2
GGOEAAEB028316,Android Women's Short Sleeve Hero Tee Black,2,2,9,0.1,0.2
GGOEGAFJ036217, Men's Pullover Hoodie Grey,2,2,9,0.0,0.2
GGOEGAWR061150, Onesie Red,20,22,9,0.1,0.2
GGOEGAEJ035314, Vintage Henley Grey/Black,19,21,9,0.1,0.2
GGOEGAYC068326, Youth Short Sleeve T-shirt Royal Blue,11,14,9,0.2,0.4
GGOEGBMJ013399,Sport Bag,2299,2877,9,0.3,0.4
GGOEGPXR023199, Collapsible Pet Bowl,12,15,9,0.3,0.4
GGOEGADJ056813, Men's Watershed Full Zip Hoodie Grey,35,54,9,0.5,0.8
GGOEGADC059513, Men's Microfiber 1/4 Zip Pullover Blue/Indigo,6,9,9,0.5,0.8
GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,845,256,9,0.5,0.8
GGOEGADB056717,Men's Softshell Jacket Black/Grey,2,3,9,0.5,0.8
9184620, Men's Performance Full Zip Jacket Black,0,0,9,0.5,0.8
GGOEAAAJ080816,Android Men's Engineer Short Sleeve Tee Charcoal,9,13,9,0.5,0.8
GGOEGALB034116, Women's Vintage Hero Tee Black,79,121,9,0.5,0.8
9182593, Men's Pullover Hoodie Grey,0,0,9,0.7,1.1
GGOEGADB059215, Men's Airflow 1/4 Zip Pullover Black,24,41,9,0.7,1.1
9182781, Women's Short Sleeve Hero Tee Black,0,0,9,0.7,1.1
GGOEGAYQ069026, Youth Short Sleeve Tee White,2,3,9,0.7,1.1
GGOEGAAX0605, Women's Quilted Insulated Vest White,10,16,9,0.6,1.6
GGOEGOCD078199, Leather Journal-Brown,275,451,9,0.6,0.9
9182740, Men's Airflow 1/4 Zip Pullover Black,0,0,9,0.6,0.9
9184708, Women's Typography Short Sleeve Tee,0,0,9,0.5,0.9
GGOEGAYH068456, Youth Short Sleeve T-shirt Green,17,32,9,0.8,1.3
9182745, Men's Quilted Insulated Vest Black,0,0,9,0.9,1.3
GGOEAOCH077899,Android Spiral Journal with Pen,665,1280,9,0.8,1.3
GGOEAAEJ033416,Android Men's Long Sleeve Badge Crew Tee Heather,15,28,9,0.8,1.3
9183212,Android RFID Journal,0,0,9,0.8,1.3
GGOEGBMB073799, Zipper-front Sports Bag,162,307,9,0.8,1.3
9183219, Leather Journal,0,0,9,0.8,1.3
GGOEGAAX0601, Women's Short Sleeve Performance Tee Pewter,1,1,9,0.7,1.8
GGOEGAWQ062948, Baby Essentials Set,261,77,10,0.3,0.5
GGOEGGCX056199,Gift Card- $100.00,45,77,10,0.6,1.0
GGOEGAAJ059115, Men's Short Sleeve Performance Badge Tee Pewter,77,131,10,0.6,1.0
GGOENEBQ078999, Cam Outdoor Security Camera - USA,2719,4683,10,0.6,1.0
GGOEGALJ060113, Women's Short Sleeve Performance Tee Pewter,1,1,10,0.6,1.0
GGOEAAYC068726,Android Youth Short Sleeve T-shirt Aqua,4,4,10,0.1,0.3
GGOEGAXL065928, Toddler Raglan Shirt Blue Heather/Navy,10,12,10,0.2,0.3
GGOEGOCC077999, Spiral Journal with Pen,3896,4668,10,0.1,0.3
GGOEAAAB081015,Android Men's Outerstellar Short Sleeve Tee Black,11,13,10,0.1,0.3
GGOEGADJ057117, Men's Performance 1/4 Zip Pullover Heather/Black,2,2,10,0.2,0.3
GGOEGAEJ031316, Tri-blend Hoodie Grey,10,11,10,0.1,0.3
GGOEAAAB034815,Android BTTF Cosmos Graphic Tee,5,6,10,0.1,0.3
GGOEGAXR065155, Toddler Short Sleeve Tee Red,2,2,10,0.4,0.6
GGOEGALP036316, Women's Long Sleeve Tee Lavender,1,1,10,0.4,0.6
9182569, Men's  Zip Hoodie,0,0,10,0.4,0.6
GGOEGAUC057714, Women's Performance Golf Polo Blue,5,6,10,0.3,0.6
GGOEGARJ058413, Women's Yoga Pants,3,4,10,0.4,0.6
9182502, Women's Yoga Jacket Black,0,0,10,0.8,1.2
GGOEGAAX0353, Vintage Henley Grey/Black,57,95,10,0.4,1.2
GGOEGALJ057913, Women's Short Sleeve Performance Tee Charcoal,6,11,10,0.8,1.2
GGOEGAEJ030813, Women's Long Sleeve Blended Cardigan Charcoal,23,42,10,0.8,1.2
GGOEGFYQ016599,Foam Can and Bottle Cooler,2442,4495,10,0.7,1.2
GGOEGAAX0306, Women's Recycled Fabric Tee,11,16,10,0.4,1.2
GGOEGAAX0321, Men's Short Sleeve Hero Tee Light Blue,2,3,10,0.4,1.2
GGOEGALP034315, Women's Vintage Hero Tee Lavender,14,26,10,0.8,1.2
GGOEGAAX0317, Men's Short Sleeve Hero Tee White,50,86,10,0.1,0.7
GGOEGAPJ058016, Women's 1/4 Zip Jacket Charcoal,3,4,10,0.4,0.7
GGOEGAWC062850, Infant Zip Hood Royal Blue,21,30,10,0.4,0.7
9183228, Cam Indoor Security Camera - USA,0,0,10,0.4,0.7
9182999, Bongo Cupholder Bluetooth Speaker,0,0,10,0.4,0.7
GGOEYAEB035616, Men's Vintage Tank,5,7,10,0.4,0.7
GGOEGAPB057816,Women's Performance Full Zip Jacket Black,6,11,10,0.9,1.4
GGOEYAAB031815, Men's Short Sleeve Hero Tee Black,36,39,10,0.0,0.1
GGOEGFAQ016699,Bottle Opener Clip,362,381,10,0.6,0.1
GGOEGBRA037499,Waterproof Backpack,215,230,10,0.0,0.1
GGOEGAAQ033915, Men's Vintage Badge Tee White,111,120,10,0.0,0.1
GGOEGALJ072913, Women's Performance Hero Tee Gunmetal,1,1,10,0.0,0.1
GGOEGAPJ058014, Women's 1/4 Zip Jacket Charcoal,17,18,10,0.0,0.1
GGOEGADB056615,Men's Weatherblock Shell Jacket Black,12,12,10,0.0,0.1
GGOEAAEJ035713,Android Men's Vintage Tank,13,15,10,0.1,0.2
9182765, Women's Convertible Vest-Jacket Sea Foam Green,0,0,10,0.1,0.2
9182753, Men's Weatherblock Shell Jacket Black,0,0,10,0.0,0.2
GGOEGAAX0628, Infant Zip Hood Royal Blue,26,29,10,0.1,0.2
9181148,Gift Card- $100.00,0,0,10,0.2,0.4
GGOEGAAX0729, Women's Performance Hero Tee Gunmetal,0,0,10,-0.1,0.4
GGOEGAAQ057215, Men's Colorblock Tee White/Heather,4,6,10,0.5,0.8
GGOEYAAJ033015, Men's Long & Lean Tee Charcoal,21,33,10,0.5,0.8
GGOEGAAX0629, Baby Essentials Set,126,194,10,0.5,0.8
GGOEGOCB078299, Leather Journal-Black,224,354,10,0.5,0.8
GGOEAAFB035915,Android Men's  Zip Hoodie,8,14,10,0.7,1.1
GGOEGGCX056399,Gift Card - $250.00,22,38,10,0.7,1.1
GGOEGAAX0688,Android Youth Short Sleeve T-shirt Pewter,2,3,10,0.7,1.1
GGOEGGCX056299,Gift Card - $25.00,65,107,10,0.6,0.9
GGOEGAAC032115, Men's Short Sleeve Hero Tee Light Blue,16,26,10,0.6,0.9
GGOEYAAQ031716, Men's Short Sleeve Hero Tee White,20,32,10,0.6,0.9
GGOEYAWJ061454, Onesie Heather,13,21,10,0.5,0.9
GGOEGAAR010713, Men's 100% Cotton Short Sleeve Hero Tee Red,21,34,10,0.6,0.9
GGOEGAAX0357,Android Men's Vintage Tank,33,57,10,0.2,0.9
GGOEGAAB010514, Men's 100% Cotton Short Sleeve Hero Tee Black,681,1101,10,0.5,0.9
GGOEYAEA035113, Men's Vintage Henley,45,87,10,0.8,1.3
GGOEAAAP081215,Android Men's Take Charge Short Sleeve Tee Purple,23,44,10,0.8,1.3
GGOEGAAX0671, Toddler Short Sleeve Tee White,21,40,10,0.8,1.3
GGOEGAEC033115, Men's Long Sleeve Raglan Ocean Blue,66,125,10,0.8,1.3
GGOEGAFB035816, Men's  Zip Hoodie,22,41,10,0.8,1.3
GGOEGAAX0659, Toddler Raglan Shirt Blue Heather/Navy,12,22,10,0.8,1.3
GGOEGAAX0606, Women's Convertible Vest-Jacket Black,37,48,10,-0.3,1.8
9182723, Men's 100% Cotton Short Sleeve Hero Tee White,0,0,11,0.3,0.5
GGOEYAEJ029614, Women's Short Sleeve Tri-blend Badge Tee Grey,1,1,11,0.2,0.5
9183225, Luggage Tag,0,0,11,0.3,0.5
GGOEGAAB058915, Men's Short Sleeve Performance Badge Tee Black,6,7,11,0.3,0.5
9182859, Toddler Raglan Shirt Blue Heather/Navy,0,0,11,0.2,0.5
GGOEGAYR068256, Youth Short Sleeve Tee Red,8,10,11,0.3,0.5
9184697, Mood Original Window Decal,0,0,11,0.3,0.5
GGOEGAAX0320,Android Men's Short Sleeve Hero Tee White,22,38,11,-0.1,1.0
9180813, Tube Power Bank,0,0,11,0.6,1.0
GGOEGAAJ080616, Men's Bike Short Sleeve Tee Charcoal,41,70,11,0.6,1.0
GGOEGAAX0326, Men's Short Sleeve Badge Tee Charcoal,8,12,11,0.5,1.5
GGOEGAAX0684, Youth Short Sleeve T-shirt Green,11,12,11,0.1,0.3
9183086, Youth Girl Tee Green,0,0,11,0.1,0.3
GGOEGAAJ059116, Men's Short Sleeve Performance Badge Tee Pewter,13,15,11,0.1,0.3
GGOENEBQ079099, Protect Smoke + CO White Battery Alarm-USA,999,325,11,0.1,0.3
GGOEGAEC029114, Women's Short Sleeve Hero Tee Sky Blue,7,8,11,0.2,0.3
GGOEGAEB027815, Women's Short Sleeve Hero Tee Black,163,200,11,0.2,0.3
GGOEGAAX0314, Men's 3/4 Sleeve Henley,0,0,11,0.2,0.3
GGOEGATH060713, Women's Convertible Vest-Jacket Sea Foam Green,27,32,11,0.1,0.3
GGOEGALQ036615, Women's Scoop Neck Tee White,43,50,11,0.1,0.3
GGOEYAEJ029517, Women's Short Sleeve Tri-blend Badge Tee Charcoal,3,3,11,0.1,0.3
GGOEGPJC019099,"7"" Dog Frisbee",133,154,11,0.8,0.3
9182764, Women's Convertible Vest-Jacket Black,0,0,11,0.3,0.6
GGOEYAAJ033014, Men's Long & Lean Tee Charcoal,29,42,11,0.4,0.6
GGOEGAAQ033918, Men's Vintage Badge Tee White,12,16,11,0.3,0.6
GGOEYAEA035114, Men's Vintage Henley,46,65,11,0.3,0.6
GGOEGADJ059815, Men's Convertible Vest-Jacket Pewter,1,1,11,0.7,1.2
GGOEGAEJ035316, Vintage Henley Grey/Black,13,23,11,0.7,1.2
GGOEGAAQ033916, Men's Vintage Badge Tee White,85,156,11,0.8,1.2
GGOEGAYH067925, Youth Girl Tee Green,3,5,11,0.8,1.2
GGOEAAFB035917,Android Men's  Zip Hoodie,4,7,11,0.8,1.2
9183186, G Noise-reducing Bluetooth Headphones,0,0,11,0.8,1.2
GGOEGOLC013299,Spiral Notebook and Pen Set,3582,6708,11,0.8,1.2
GGOEGALP034313, Women's Vintage Hero Tee Lavender,17,31,11,0.8,1.2
GGOEGAAJ080617, Men's Bike Short Sleeve Tee Charcoal,19,34,11,0.7,1.2
9182909, Collapsible Pet Bowl,0,0,11,0.4,0.7
GGOEAAAJ032916,Android Men's Long & Lean Badge Tee Charcoal,28,42,11,0.4,0.7
GGOEGATB060414, Women's Quilted Insulated Vest Black,2,2,11,0.4,0.7
GGOEGADB056917, Men's Performance Full Zip Jacket Black,7,10,11,0.4,0.7
GGOEGAAX0284,Women's  Short Sleeve Hero Tee Black,22,23,11,0.1,0.7
GGOEYAQB073216, Women's Fleece Hoodie Black,9,13,11,0.4,0.7
GGOEGOAQ012899,Ballpoint LED Light Pen,1415,2098,11,0.4,0.7
GGOEGEHQ024099,Clip-on Compact Charger,745,1468,11,-0.3,1.4
GGOEGAAJ073414, Men's Short Sleeve Hero Tee Heather,15,29,11,0.9,1.4
GGOEGAAX0619, Infant Short Sleeve Tee Royal Blue,17,33,11,0.9,1.4
GGOEGESC014099,Rocket Flashlight,123,242,11,0.2,1.4
GGOEAAEB028314,Android Women's Short Sleeve Hero Tee Black,1,1,11,0.0,0.1
GGOEWAAJ082817, Men's Short Sleeve Tee,2,2,11,0.0,0.1
GGOEGAAX0614, Onesie Heather,25,26,11,0.0,0.1
9181149,Gift Card - $25.00,0,0,11,0.0,0.1
GGOEWAAJ082813, Men's Short Sleeve Tee,2,2,11,0.1,0.2
GGOEGAPB058213, Women's Lightweight Microfleece Jacket,15,16,11,0.1,0.2
GGOEGEHQ072499, 2200mAh Micro Charger,34,38,11,0.7,0.2
9180771,Yoga Mat Purple,0,0,11,0.1,0.2
GGOEAXXX0808,Android Men's Engineer Short Sleeve Tee Charcoal,37,55,11,0.0,0.4
9182173, Stylus Pen w/ LED Light,0,0,11,0.2,0.4
GGOEYAFB073113, Men's Fleece Hoodie Black,79,99,11,0.2,0.4
GGOEAAXN066329,Android Toddler Short Sleeve T-shirt Pink,54,70,11,0.2,0.4
GGOEGATC060316, Women's 1/4 Zip Performance Pullover Two-Tone Blue,1,1,11,0.2,0.4
GGOEGAEB084515,BLM Sweatshirt,6,9,11,0.5,0.8
GGOEYAWJ061449, Onesie Heather,45,71,11,0.5,0.8
GGOEGAWH061354, Onesie Green,33,50,11,0.5,0.8
GGOEAAAJ080813,Android Men's Engineer Short Sleeve Tee Charcoal,17,26,11,0.5,0.8
GGOEAAAH083313,Android Men's Paradise Short Sleeve Tee Olive,2,3,11,0.5,0.8
GGOEGAAX0604, Women's Quilted Insulated Vest Black,6,10,11,0.1,0.8
GGOEGADJ057113, Men's Performance 1/4 Zip Pullover Heather/Black,10,18,11,0.7,1.1
9182575,Android Men's  Zip Hoodie,0,0,11,0.7,1.1
GGOEAAAL081115,Android Men's Pep Rally Short Sleeve Tee Navy,23,41,11,0.7,1.1
GGOEGBCR024399, Lunch Bag,160,290,11,0.4,1.1
GGOEGAAX0597, Men's Quilted Insulated Vest Battleship Grey,24,45,11,0.6,1.6
GGOEAAFB035913,Android Men's  Zip Hoodie,8,12,11,0.5,0.9
GGOEGAAX0579, Women's Short Sleeve Performance Tee Charcoal,10,18,11,-0.2,0.9
GGOEGBJC019999,Collapsible Shopping Bag,1184,117,11,0.5,0.9
GGOEGADJ057116, Men's Performance 1/4 Zip Pullover Heather/Black,4,6,11,0.6,0.9
GGOEWFKA082999, Baby on Board Window Decal,251,415,11,0.6,0.9
9184733, Learning Thermostat 3rd Gen-USA - White,0,0,11,0.6,0.9
GGOEGCNB021099,Seat Pack Organizer,160,304,11,-0.4,1.3
GGOEGAEB027813, Women's Short Sleeve Hero Tee Black,130,252,11,0.8,1.3
GGOEGAYH068425, Youth Short Sleeve T-shirt Green,4,7,11,0.8,1.3
GGOEWXXX0835, Men's Typography Short Sleeve Tee,1,1,11,0.7,1.8
GGOEYAAJ033013, Men's Long & Lean Tee Charcoal,10,13,12,0.3,0.5
GGOEGAAX0325, Men's Short Sleeve Hero Tee Charcoal,53,104,12,0.0,0.5
GGOEGAEJ029913, Women's V-Neck Tee Charcoal,6,8,12,0.3,0.5
GGOEAAXN066355,Android Toddler Short Sleeve T-shirt Pink,21,28,12,0.3,0.5
GGOEAHPJ004213,Android Stretch Fit Hat S/M,31,53,12,0.6,1.0
9180764, Canvas Tote Natural/Navy,0,0,12,0.2,0.3
GGOEGKAA019299,Switch Tone Color Crayon Pen,1163,388,12,0.2,0.3
GGOEGAAJ032314, Men's Short Sleeve Hero Tee Charcoal,49,59,12,0.2,0.3
9181573, Snapback Hat Black,0,0,12,0.1,0.3
GGOEAAXC066429,Android Toddler Short Sleeve T-shirt Aqua,81,99,12,0.2,0.3
GGOEGAPB057514,Women's Weatherblock Shell Jacket Black,7,8,12,0.1,0.3
GGOEGAAX0569, Men's Performance Full Zip Jacket Black,33,54,12,-0.4,0.3
