average,station_name,date,today,partition_age,month
0.2,WAKAYAMA,2023-12-19,2024-02-16,59,12
0.18,WAKAYAMA,2023-12-31,2024-02-16,47,12
0.02,WAKAYAMA,2024-01-03,2024-02-16,44,1
0.08,WAKAYAMA,2024-01-04,2024-02-16,43,1
0.02,WAKAYAMA,2024-01-18,2024-02-16,29,1
0.02,WAKAYAMA,2024-01-20,2024-02-16,27,1
0.18,WAKAYAMA,2024-01-21,2024-02-16,26,1
0.02,WAKAYAMA,2024-01-31,2024-02-16,16,1
0.04,WAKAYAMA,2024-02-01,2024-02-16,15,2
0.04,WAKAYAMA,2024-02-03,2024-02-16,13,2
0.28,WAKAYAMA,2024-02-04,2024-02-16,12,2
0.43,WAKAYAMA,2024-02-05,2024-02-16,11,2