county,cstore_percentage
Black Hawk,9.0
Polk,6.1
Carroll,3.5
Johnson,15.5
Dallas,7.4
Clinton,3.9
Linn,6.9
Clarke,8.5
Boone,11.7
Iowa,2.9
Crawford,10.9
Cedar,27.2
Greene,28.0
Cerro Gordo,4.2
Warren,22.3
Lucas,9.7
Mahaska,4.4
Monroe,0.8
Appanoose,9.3
Winnebago,19.1
Story,9.5
Buena Vista,9.8
Dubuque,3.2
Winneshiek,8.3
Scott,5.8
Woodbury,13.9
Benton,5.2
Fayette,9.5
Muscatine,4.5
Webster,2.8
Sac,7.1
Wapello,1.3
Marion,0.7
Calhoun,41.9
Hancock,208.2
Buchanan,12.0
Bremer,13.8
Monona,5.5
Poweshiek,5.4
Marshall,4.2
Pocahontas,11.3
Ringgold,8.2
Tama,3.9
Sioux,6.4
Dickinson,6.5
Jasper,11.0
Hardin,8.4
O'Brien,21.9
Plymouth,8.1
Hamilton,24.1
Wright,41.7
Madison,34.1
Palo Alto,4.6
Union,10.2
Cherokee,1.5
Floyd,14.0
Lyon,42.6
Mitchell,6.1
Butler,13.5
Mills,27.5
Clay,3.0
Osceola,28.2
Page,1.6
Montgomery,3.2
Emmet,17.8
Humboldt,6.3
Cass,1.7
Pottawattamie,8.6
Des Moines,19.7
Franklin,13.1
Adair,38.7
Lee,7.2
Clayton,28.9
Guthrie,44.4
Henry,7.6
Washington,11.9
Jefferson,13.8
Shelby,3.9
Louisa,10.8
Jackson,6.5
Audubon,22.6
Wayne,5.5
Decatur,203.8
Grundy,106.6
Van Buren,18.0